id	orgName	QID	ttu_id
ttu_463_org_0	Texas Tech University	Q1423756	
ttu_463_org_1	B Company, 229th Aviation Battalion	Q110624755	
ttu_463_org_2	2nd Battalion 7th Marines	Q4633583	
ttu_463_org_3	1st Battalion 7th Marines	Q4596199	
ttu_463_org_4	Reserve Officers' Training Corps	Q489983	
ttu_463_org_5	University of Minnesota	Q238101	
ttu_463_org_6	University of Minnesota	Q238101	
ttu_463_org_7	Reserve Officers' Training Corps	Q489983	
ttu_463_org_8	11th Airborne Division	Q169980	
ttu_463_org_9	Reserve Officers' Training Corps	Q489983	
ttu_463_org_10	11th Airborne Division	Q169980	
ttu_463_org_11	1st Air Cavalry Brigade, 1st Cavalry Division	Q4596090	
ttu_463_org_12	1st Air Cavalry Brigade, 1st Cavalry Division	Q4596090	
ttu_463_org_13	1st Air Cavalry Brigade, 1st Cavalry Division	Q4596090	
ttu_463_org_14	11th Airborne Division	Q169980	
ttu_463_org_15	1st Air Cavalry Brigade, 1st Cavalry Division	Q4596090	
ttu_463_org_16	7th Cavalry	Q4643987	
ttu_463_org_17	21st Coast Artillery	Q48816347	
ttu_463_org_18	B Company, 229th Aviation Battalion	Q110624755	
ttu_463_org_19	2nd Battalion 7th Marines	Q4633583	
ttu_463_org_20	1st Air Cavalry Brigade, 1st Cavalry Division	Q4596090	
ttu_463_org_21	United States Air Force	Q11223	
ttu_463_org_22	FDC (Fire Direction Control)		
ttu_463_org_23	Alpha Company, Anti-Terrorism Battalion, 4th Marine Division	Q4735015	
ttu_463_org_24	United States Air Force	Q11223	
ttu_463_org_25	Aerial Rocket Artillery	Q4687990	
ttu_463_org_26	United States Air Force	Q11223	
ttu_463_org_27	United States Air Force	Q11223	
ttu_463_org_28	United States Air Force	Q11223	
ttu_463_org_29	United States Air Force	Q11223	
ttu_463_org_30	United States Air Force	Q11223	
ttu_463_org_31	United States Air Force	Q11223	
ttu_463_org_32	United States Air Force	Q11223	
ttu_463_org_33	B Company, 229th Aviation Battalion	Q110624755	
ttu_463_org_34	2nd Battalion 7th Marines	Q4633583	
ttu_463_org_35	5th Battalion 7th Air Defense Artillery Regiment	Q938451	
ttu_463_org_36	B Company, 229th Aviation Battalion	Q110624755	
ttu_463_org_37	B Company, 229th Aviation Battalion	Q110624755	
ttu_463_org_38	B Company, 229th Aviation Battalion	Q110624755	
ttu_463_org_39	Vietnam Center and Sam Johnson Vietnam Archive	Q7928492	
