id	persName	QID	ttu_id
ttu_479_person_0	Philip F. Napoli	Q111599207	
ttu_479_person_1	William W. Franklin	Q111669228	
ttu_479_person_2	William W. Franklin	Q111669228	
ttu_479_person_3	William W. Franklin	Q111669228	
ttu_479_person_4	William W. Franklin	Q111669228	
ttu_479_person_5	Danny Fasele		ttu_0144
ttu_479_person_6			
ttu_479_person_7	Robert H. Edwards	Q111008041	
ttu_479_person_8	Robert H. Edwards	Q111008041	
ttu_479_person_9	John Geoghagen	Q6235071	
ttu_479_person_10	Neil Allen Kroger	Q111653506	
ttu_479_person_11	John Geoghagen	Q6235071	
ttu_479_person_12	Barbara Ann Weathers Geoghegan Johns	Q111653150	
ttu_479_person_13	Sarah Franklin		ttu_0159
ttu_479_person_14	John Geoghagen	Q6235071	
ttu_479_person_15	Cammie		ttu_0012
ttu_479_person_16	Camille		ttu_0012
ttu_479_person_17	Robert H. Edwards	Q111008041	
ttu_479_person_18	John Geoghagen	Q6235071	
ttu_479_person_19	Sarah		ttu_0159
ttu_479_person_20	John Geoghagen	Q6235071	
ttu_479_person_21	Barbara Ann Weathers Geoghegan Johns	Q111653150	
ttu_479_person_22	Cammie		ttu_0012
ttu_479_person_23	Mike		ttu_0145
ttu_479_person_24	Kim		ttu_0146
ttu_479_person_25			
ttu_479_person_26	Robert H. Edwards	Q111008041	
ttu_479_person_27	John D. Herren	Q111678638	
ttu_479_person_28			
ttu_479_person_29	Hal Moore	Q430209	
ttu_479_person_30	Ho Chi Minh	Q36014	
ttu_479_person_31	John Geoghegan	Q6235071	
ttu_479_person_32			
ttu_479_person_33	Hal Moore	Q430209	
ttu_479_person_34	Robert H. Edwards	Q111008041	
ttu_479_person_35	Thomas W. Brown	Q111630856	
ttu_479_person_36	Hal Moore	Q430209	
ttu_479_person_37	Hal Moore	Q430209	
ttu_479_person_38	Bill Carson	Q111669329	
ttu_479_person_39	Tom Mitchell		ttu_0147
ttu_479_person_40	Tom		ttu_0147
ttu_479_person_41	Tom		ttu_0147
ttu_479_person_42	Bill Carson	Q111669329	
ttu_479_person_43	Hal Moore	Q430209	
ttu_479_person_44	Harry Kinnard	Q2138194	
ttu_479_person_45	Neil Allen Kroger	Q111653506	
ttu_479_person_46	John Geoghegan	Q6235071	
ttu_479_person_47	Hal Moore	Q430209	
ttu_479_person_48	John Geoghegan	Q6235071	
ttu_479_person_49	Neil Allen Kroger	Q111653506	
ttu_479_person_50	John Geoghagen	Q6235071	
ttu_479_person_51	Barbara Ann Weathers Geoghegan Johns	Q111653150	
ttu_479_person_52	Barbara Ann Weathers Geoghegan Johns	Q111653150	
ttu_479_person_53	John Geoghagen	Q6235071	
ttu_479_person_54	Barbara Ann Weathers Geoghegan Johns	Q111653150	
ttu_479_person_55	Barbara Ann Weathers Geoghegan Johns	Q111653150	
ttu_479_person_56	John Geoghagen	Q6235071	
ttu_479_person_57	Charles Dashner	Q110973786	
ttu_479_person_58	Charles Dashner	Q110973786	
ttu_479_person_59	Charles Dashner	Q110973786	
ttu_479_person_60	Joseph L. Galloway	Q3185182	
ttu_479_person_61	Charles Dashner	Q110973786	
ttu_479_person_62	Charles Dashner	Q110973786	
ttu_479_person_63	Charles Dashner	Q110973786	
ttu_479_person_64			
ttu_479_person_65			
ttu_479_person_66	Charles Freeman	Q111669391	
ttu_479_person_67	Charles Freeman	Q111669391	
ttu_479_person_68	Charles Freeman	Q111669391	
ttu_479_person_69	Charles Freeman	Q111669391	
ttu_479_person_70	Charles Freeman	Q111669391	
ttu_479_person_71	Charles Freeman	Q111669391	
ttu_479_person_72	Hal Moore	Q430209	
ttu_479_person_73	James Lane	Q111653576	
ttu_479_person_74	Robert H. Edwards	Q111008041	
ttu_479_person_75	Hal Moore	Q430209	
ttu_479_person_76	James Lane	Q111653576	
ttu_479_person_77	Walter Joseph Marm, Jr.	Q7965296	
ttu_479_person_78	Walter Joseph Marm, Jr.	Q7965296	
ttu_479_person_79	James Lane	Q111653576	
ttu_479_person_80	James Lane	Q111653576	
ttu_479_person_81	James Lane	Q111653576	
ttu_479_person_82	Walter Joseph Marm, Jr.	Q7965296	
ttu_479_person_83	Neil Allen Kroger	Q111653506	
ttu_479_person_84	John Geoghegan	Q6235071	
ttu_479_person_85	James Lane	Q111653576	
ttu_479_person_86	Robert H. Edwards	Q111008041	
ttu_479_person_87	Robert H. Edwards	Q111008041	
ttu_479_person_88	Robert H. Edwards	Q111008041	
ttu_479_person_89	Charles Freeman	Q111669391	
ttu_479_person_90	John Geoghegan	Q6235071	
ttu_479_person_91	Neil Allen Kroger	Q111653506	
ttu_479_person_92	Robert H. Edwards	Q111008041	
ttu_479_person_93	Jeremiah Jivens	Q111677107	
ttu_479_person_94	Jeremiah Jivens	Q111677107	
ttu_479_person_95	Sonny Liston	Q313684	
ttu_479_person_96	Jeremiah Jivens	Q111677107	
ttu_479_person_97	Jeremiah Jivens	Q111677107	
ttu_479_person_98	John Geoghegan	Q6235071	
ttu_479_person_99	Jeremiah Jivens	Q111677107	
ttu_479_person_100	Neil Allen Kroger	Q111653506	
ttu_479_person_101	Ken Eklund	Q111677921	
ttu_479_person_102			
ttu_479_person_103	Pat Tillman	Q768879	
ttu_479_person_104	Sergeant Calloway		ttu_0148
ttu_479_person_105			
ttu_479_person_106	Sergeant Calloway		ttu_0148
ttu_479_person_107			
ttu_479_person_108	Charles Freeman	Q111669391	
ttu_479_person_109	Sergeant Calloway		ttu_0148
ttu_479_person_110	Sergeant Calloway		ttu_0148
ttu_479_person_111			
ttu_479_person_112	Sergeant Calloway		ttu_0148
ttu_479_person_113			
ttu_479_person_114	Jeremiah Jivens	Q111677107	
ttu_479_person_115	Jeremiah Jivens	Q111677107	
ttu_479_person_116	Jeremiah Jivens	Q111677107	
ttu_479_person_117	Jeremiah Jivens	Q111677107	
ttu_479_person_118	Jeremiah Jivens	Q111677107	
ttu_479_person_119	Jeremiah Jivens	Q111677107	
ttu_479_person_120			
ttu_479_person_121	Robert H. Edwards	Q111008041	
ttu_479_person_122	Sergeant Keaton		ttu_0149
ttu_479_person_123	Sergeant Keaton		ttu_0149
ttu_479_person_124	Gregory P. Dillon	Q111442679	
ttu_479_person_125	Gregory P. Dillon	Q111442679	
ttu_479_person_126	Robert H. Edwards	Q111008041	
ttu_479_person_127	Neven Schneider	Q111677433	
ttu_479_person_128	Neven Schneider	Q111677433	
ttu_479_person_129	Neven Schneider	Q111677433	
ttu_479_person_130	Sergeant Gray		ttu_0150
ttu_479_person_131	William Westmoreland	Q298793	
ttu_479_person_132	Sergeant Brooks, Al Brooks		ttu_0160
ttu_479_person_133	Sergeant Brooks		ttu_0160
ttu_479_person_134	John Geoghegan	Q6235071	
ttu_479_person_135	Neil Allen Kroger	Q111653506	
ttu_479_person_136	Jeremiah Jivens	Q111677107	
ttu_479_person_137			
ttu_479_person_138	John Hanlon	Q111677505	
ttu_479_person_139	John Hanlon	Q111677505	
ttu_479_person_140	John Hanlon	Q111677505	
ttu_479_person_141	John Hanlon	Q111677505	
ttu_479_person_142	John Hanlon	Q111677505	
ttu_479_person_143	John Hanlon	Q111677505	
ttu_479_person_144	John Hanlon	Q111677505	
ttu_479_person_145	Captain Dale Burton		ttu_0151
ttu_479_person_146	Chaplain Burton		ttu_0151
ttu_479_person_147	John Rangel, Jr.	Q111678620	
ttu_479_person_148	John Rangel, Jr.	Q111678620	
ttu_479_person_149	Walter Joseph Marm, Jr.	Q7965296	
ttu_479_person_150	John Rangel, Jr.	Q111678620	
ttu_479_person_151	Larry Hess	Q111676998	
ttu_479_person_152	Larry Hess	Q111676998	
ttu_479_person_153			
ttu_479_person_154	Larry Hess	Q111676998	
ttu_479_person_155	Larry Hess	Q111676998	
ttu_479_person_156	Larry Hess	Q111676998	
ttu_479_person_157			
